ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-6716836,Source1,2,2020-10-20 17:44:57,2020-10-20 19:15:00,29.772265,-95.228576,29.773847,-95.24224,0.8270000000000001,Incident on I-10 WB near HOLLAND AVE Expect long delays.,I-10 W,Houston,Harris,TX,77029,US,US/Central,KHOU,2020-10-20 17:53:00,82.0,82.0,71.0,29.91,10.0,ESE,13.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2327638,Source2,2,2019-01-09 10:20:19,2019-01-09 10:50:04,39.186989,-120.194992,,,0.0,Accident on Alpine Meadows Rd at CA-89.,River Rd,Olympic Valley,Placer,CA,96146,US,US/Pacific,KTRK,2019-01-09 09:50:00,35.6,30.7,93.0,30.1,7.0,WSW,5.8,,Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2072612,Source2,2,2019-06-26 16:41:37,2019-06-26 17:41:06,41.043755,-73.835228,,,0.0,Accident on I-87 Southbound at Exit 7A Saw Mill Pkwy Exit 20.,Saw Mill River Pkwy N,Irvington,Westchester,NY,10533,US,US/Eastern,KHPN,2019-06-26 16:56:00,86.0,86.0,37.0,29.53,10.0,NW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4143286,Source1,2,2022-03-22 05:41:30.000000000,2022-03-22 09:05:30.000000000,47.30159,-122.302366,47.49208400000001,-122.265174,13.276,Slow traffic on I-5 N from WA-18/Exit 142 (I-5) to WA-900/Martin Luther King Jr Way/Exit 157 (I-5) due to accident.,I-5 N,Federal Way,King,WA,98003,US,US/Pacific,KSEA,2022-03-22 05:53:00,48.0,48.0,96.0,29.92,1.0,SSE,3.0,0.0,Light Drizzle,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-3042991,Source2,3,2018-01-03 15:18:10,2018-01-03 15:47:50,36.845222,-76.283592,,,0.0,Two lanes blocked due to accident on I-264 Westbound at Exits 9 10 City Hall Ave.,US-460 Alt E,Norfolk,Norfolk,VA,23510,US,US/Eastern,KORF,2018-01-03 14:51:00,34.0,24.6,64.0,30.11,10.0,NNE,13.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5560919,Source1,2,2021-03-25 16:02:15,2021-03-25 17:47:15,42.280069,-124.4048,42.278076,-124.404269,0.14,Incident on US-101 SB near MP 339 Drive with caution., Oregon Coast Hwy,Gold Beach,Curry,OR,97444,US,US/Pacific,KBOK,2021-03-25 15:56:00,50.0,50.0,68.0,29.49,10.0,NW,16.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6372363,Source1,2,2021-01-12 01:37:30.000000000,2021-01-12 04:12:30.000000000,30.656195,-87.909403,30.656027,-87.910822,0.085,Stationary traffic on I-10 W from AL-181/Exit 38 (I-10) to US-98/US-90/Exit 35 (I-10) due to accident.,I-10 W,Daphne,Baldwin,AL,36527,US,US/Central,KBFM,2021-01-12 01:53:00,40.0,33.0,83.0,30.27,10.0,NNW,13.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6601261,Source1,2,2020-12-29 16:35:00,2020-12-29 18:18:09,43.097177,-75.620605,43.09931,-75.61583,0.282,Incident on RT-365 near HOUSE 4884 Expect long delays., State St,Oneida,Oneida,NY,13421-9402,US,US/Eastern,KRME,2020-12-29 16:53:00,23.0,16.0,68.0,29.97,10.0,NW,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6258592,Source1,4,2021-06-10 06:28:42,2021-06-10 07:55:32,40.81649422626106,-73.89424681628277,40.809844226261056,-73.90255681628275,0.632,NYSDOT - Region 11: Crash on I-278 westbound area of Lafayette Avenue (New York) All lanes closed,Sheridan Blvd,Bronx,Bronx,NY,10459,US,US/Eastern,KLGA,2021-06-10 06:51:00,74.0,74.0,57.0,29.96,10.0,ENE,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3592048,Source1,2,2017-03-21 17:27:08,2017-03-21 23:27:08,34.2742,-118.59523,34.27319,-118.56656,1.638,Between De Soto Ave and Porter Ranch Dr - Accident.,CA-118 E,Chatsworth,Los Angeles,CA,91311,US,US/Pacific,KVNY,2017-03-21 17:51:00,57.9,,97.0,30.04,2.5,SSE,6.9,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1133358,Source2,2,2021-03-03 11:22:43,2021-03-03 11:54:00,33.301964,-117.468651,,,0.0,Right hand shoulder blocked due to accident on I-5 Southbound before Las Pulgas Rd.,San Diego Fwy S,Camp Pendleton,San Diego,CA,92055,US,US/Pacific,KNFG,2021-03-03 11:22:00,51.0,51.0,74.0,29.82,1.0,CALM,0.0,0.13,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4540850,Source1,2,2022-06-06 16:45:39.000000000,2022-06-06 19:00:23.000000000,35.901141,-78.65395699999998,35.901373,-78.652331,0.092,Slow traffic from Olde Station Dr to Baileywick Rd due to accident., Strickland Rd,Raleigh,Wake,NC,27615-1936,US,US/Eastern,KRDU,2022-06-06 16:51:00,85.0,85.0,36.0,29.59,10.0,VAR,5.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-3034030,Source2,2,2018-02-26 12:20:21,2018-02-26 12:50:10,35.178284000000005,-80.880684,,,0.0,Accident on Woodlawn Rd at Chastain Ave.,E Woodlawn Rd,Charlotte,Mecklenburg,NC,28217-2202,US,US/Eastern,KCLT,2018-02-26 12:04:00,60.1,,86.0,30.15,10.0,West,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4464361,Source1,2,2023-01-14 16:42:00,2023-01-14 18:13:51,33.766749,-118.282301,33.7573,-118.290549,0.807,Incident on I-110 SB near W CHANNEL ST Road closed. Take alternate route.,Harbor Fwy S,San Pedro,Los Angeles,CA,90731,US,US/Pacific,KTOA,2023-01-14 16:47:00,54.0,54.0,100.0,29.75,6.0,VAR,3.0,,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1374749,Source2,2,2020-09-04 11:51:02,2020-09-04 12:36:06,30.079769,-95.664291,,,0.0,Two lanes blocked due to accident on FM-2920 Westbound at Telge Rd.,FM 2920 Rd,Tomball,Harris,TX,77377-6145,US,US/Central,KDWH,2020-09-04 11:53:00,93.0,93.0,56.0,29.9,10.0,VAR,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-6720764,Source1,2,2020-11-29 01:17:17,2020-11-29 03:15:42,39.053365,-76.840525,39.069081,-76.831411,1.1909999999999998,Incident on MD-295 NB near MD-197 Road closed. Take alternate route.,Baltimore Washington Pkwy N,Laurel,Prince George's,MD,20708,US,US/Eastern,KFME,2020-11-29 01:15:00,32.0,32.0,100.0,30.04,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-551175,Source2,3,2022-07-29 15:56:16,2022-07-29 16:40:41,34.02977,-84.048462,,,0.0,Right lane blocked due to crash on I-85 Northbound at Exit 111 GA-317 Lawrenceville Suwanee Rd.,GA-403 S,Suwanee,Gwinnett,GA,30024,US,US/Eastern,KLZU,2022-07-29 15:56:00,91.0,91.0,53.0,28.94,10.0,WNW,6.0,0.0,Thunder,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3761906,Source1,2,2022-07-23 18:56:00,2022-07-23 19:38:00,37.155824,-121.983401,37.164132,-121.990616,0.698,Stationary traffic on CA-17 from Summit Rd (CA-17) to Idylwild Rd (CA-17) due to accident., Santa Cruz Hwy,Los Gatos,Santa Clara,CA,95033,US,US/Pacific,KSJC,2022-07-23 18:53:00,72.0,72.0,57.0,29.78,10.0,NW,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6149650,Source1,2,2021-08-20 16:27:00,2021-08-20 17:24:30,36.742075,-119.812149,36.754384,-119.77437,2.258,Slow traffic on CA-180 E from Marks Ave (W Whitesbridge Ave/CA-180) to CA-41 (CA-180) due to accident.,CA-180 E,Fresno,Fresno,CA,93706,US,US/Pacific,KFAT,2021-08-20 16:53:00,90.0,90.0,26.0,29.36,3.0,VAR,5.0,0.0,Smoke,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4374636,Source1,2,2023-01-06 14:39:30,2023-01-06 15:03:00,40.572127,-111.764846,40.573002,-111.77714,0.648,Slow traffic on UT-210 from Entry 2 Snowbird Rd (E Little Cottonwood Rd/UT-210) to S Granite Vista Dr (N Little Cottonwood Rd/UT-210) due to accident., E Little Cottonwood Rd,Sandy,Salt Lake,UT,84092,US,US/Mountain,KU42,2023-01-06 14:54:00,43.0,39.0,80.0,25.84,10.0,SE,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2990347,Source2,2,2018-02-05 08:31:44,2018-02-05 09:16:13,35.857334,-78.55403100000002,,,0.0,Accident on Opus St at Goodstone Dr.,Opus St,Raleigh,Wake,NC,27616-3516,US,US/Eastern,KRDU,2018-02-05 08:33:00,36.0,,100.0,30.1,5.0,Calm,,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3605779,Source1,4,2017-05-06 22:37:12,2017-05-07 04:37:12,33.202921999999994,-82.293989,33.209012,-82.303554,0.695,Closed at Noah Station Rd - Road closed due to accident., Pecan Place Rd,Keysville,Burke,GA,30816-4141,US,US/Eastern,KAGS,2017-05-06 22:53:00,63.0,,70.0,29.82,10.0,North,15.0,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-7473773,Source1,4,2018-12-02 01:03:04,2018-12-02 01:32:20,42.56243,-88.64872,42.56243,-88.64872,0.0,Closed at Wisconsin St - Road closed due to accident.,N1901 County Road O,Sharon,Walworth,WI,53585,US,US/Central,KJVL,2018-12-02 00:55:00,37.4,28.9,100.0,29.34,7.0,ENE,13.8,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6908973,Source1,2,2020-12-11 23:51:00,2020-12-12 02:18:01,27.124754,-82.453681,27.123804,-82.453686,0.066,Incident on US-41 SB near ALBEE RD Left lane blocked.,Tamiami Trl N,Nokomis,Sarasota,FL,34275,US,US/Eastern,KVNC,2020-12-11 23:53:00,62.0,62.0,75.0,30.06,10.0,E,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-1737818,Source2,2,2019-10-07 05:58:57,2019-10-07 08:39:44,34.798573,-82.372467,,,0.0,Accident on I-85 Northbound at Exit 46 US-25-BR Augusta Rd.,I-85 S,Greenville,Greenville,SC,29605,US,US/Eastern,KGYH,2019-10-07 05:55:00,64.0,64.0,94.0,29.13,10.0,N,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5777265,Source1,2,2021-07-27 22:39:00,2021-07-28 03:57:55,37.957387,-121.328199,37.957507,-121.327509,0.038,Accident from I-5 N to Carlton Ave., Wilshire Ave,Stockton,San Joaquin,CA,95203-1924,US,US/Pacific,KSCK,2021-07-27 22:55:00,77.0,77.0,48.0,29.91,10.0,W,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5834815,Source1,2,2021-05-12 14:45:10,2021-05-12 16:55:56,40.17001748065867,-74.10951018298098,40.16345748065867,-74.14962018298095,2.166,Stationary traffic on I-195 W from NJ-34/Exit 35 (I-195) to CR-547/Exit 31 (I-195) due to accident.,I-195,Farmingdale,Monmouth,NJ,07727,US,US/Eastern,KBLM,2021-05-12 14:56:00,68.0,68.0,30.0,29.98,10.0,NW,16.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7253293,Source1,2,2020-02-07 13:56:00,2020-02-07 15:23:54,40.7276,-74.02104,40.7276,-74.02104,0.0,At New York/New Jersey State Line - Accident.,Holland Tunl W,Jersey City,Hudson,NJ,07310,US,US/Eastern,KJRB,2020-02-07 13:59:00,48.0,41.0,66.0,28.86,10.0,W,20.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-702056,Source2,2,2022-02-21 04:19:26,2022-02-21 05:04:17,33.930481,-81.408401,,,0.0,Crash on Peachtree St at Peachtree Ext.,Peachtree St,Gilbert,Lexington,SC,29054-8584,US,US/Eastern,KCAE,2022-02-21 03:56:00,42.0,42.0,79.0,30.07,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4597090,Source1,2,2022-11-11 11:42:19,2022-11-11 13:53:18,42.94351,-78.907873,42.944208,-78.90817,0.051,NYSTA - Statewide Ops.: crash on I-190 - Niagara Thruway southbound at Before Exit N14 (I-190) - Ontario St - Vulcan St starting 11:42 AM 11/11/2022 [CARS CAD-223150135],I-190 N,Buffalo,Erie,NY,14207,US,US/Eastern,KBUF,2022-11-11 11:54:00,59.0,59.0,93.0,29.0,7.0,E,7.0,0.07,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7281276,Source1,2,2020-01-02 19:17:00,2020-01-02 20:29:26,34.110597,-118.481596,34.110597,-118.481596,0.0,At Skirball Center Dr/Exit 61 - Accident.,Bel Air Crest Rd,Los Angeles,Los Angeles,CA,90077,US,US/Pacific,KSMO,2020-01-02 18:51:00,56.0,56.0,90.0,29.84,7.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1414798,Source2,2,2020-08-07 12:21:57,2020-08-07 14:42:02,43.01936,-85.636147,,,0.0,Accident on Plainfield Ave at I-96.,I-96 W,Grand Rapids,Kent,MI,49505,US,US/Eastern,KGRR,2020-08-07 11:53:00,76.0,76.0,52.0,29.22,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2840276,Source2,3,2018-05-22 08:19:49,2018-05-22 09:19:30,32.276608,-90.198174,,,0.0,Left lane blocked due to accident on I-20 Eastbound at I-55 I-20.,S State St,Jackson,Hinds,MS,39204,US,US/Central,KHKS,2018-05-22 07:53:00,72.0,,97.0,30.02,7.0,SE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1802201,Source2,2,2019-11-06 07:43:42,2019-11-06 08:43:28,30.273821,-92.032883,,,0.0,Accident on Pont Des Mouton Rd at Veterinarian Rd.,W Pont des Mouton Rd,Lafayette,Lafayette,LA,70507-3203,US,US/Central,KLFT,2019-11-06 07:53:00,60.0,60.0,78.0,30.22,10.0,ENE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1982441,Source2,2,2019-07-23 17:09:15,2019-07-23 18:23:43,35.785011,-78.687027,,,0.0,Accident on Western Blvd at Gorman St.,Gorman St,Raleigh,Wake,NC,27606-1958,US,US/Eastern,KRDU,2019-07-23 17:22:00,65.0,65.0,97.0,29.41,3.0,VAR,6.0,0.01,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-7464644,Source1,2,2019-01-17 07:50:14,2019-01-17 08:19:40,33.75293,-84.37925,33.75111,-84.38096,0.16,At Edgewood Ave/Exit 248 - Accident. Hard shoulder blocked.,I-75 S,Atlanta,Fulton,GA,30303,US,US/Eastern,KFTY,2019-01-17 07:53:00,32.0,,100.0,30.25,8.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5771366,Source1,2,2021-09-21 11:05:30,2021-09-21 11:28:30,36.297954,-87.675604,36.301093,-87.676144,0.219,Stationary traffic on TN-13 from TN-231/CR-341/McEwen Rd (TN-13) to TN-49/E Main St (TN-13) due to accident., Highway 13,Erin,Houston,TN,37061-6801,US,US/Central,KCKV,2021-09-21 11:09:00,79.0,79.0,83.0,29.43,10.0,CALM,0.0,0.0,Light Drizzle,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1695161,Source2,2,2019-12-04 18:38:17,2019-12-04 21:26:48,40.598969,-124.221695,,,0.0,Lane blocked due to accident on CA-211 at Coffee Creek Rd.,State Highway 271,Ferndale,Humboldt,CA,95536,US,US/Pacific,KFOT,2019-12-04 18:35:00,50.0,50.0,100.0,29.46,4.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6085677,Source1,2,2021-08-14 10:51:47,2021-08-14 12:54:48,36.863206,-80.870506,36.84736,-80.860178,1.235,Incident on I-77 SB near MM 26 Drive with caution.,I-77 S,Austinville,Wythe,VA,24312,US,US/Eastern,KHLX,2021-08-14 10:55:00,78.0,78.0,76.0,27.44,10.0,NNW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4549387,Source1,2,2022-04-04 15:08:00,2022-04-04 17:54:30,37.701029,-122.021515,37.70095900000001,-121.82988600000002,10.476,Slow traffic on I-580 E from Grove Way (I-580) to Airway Blvd (I-580) due to accident.,I-580 E,Castro Valley,Alameda,CA,94552,US,US/Pacific,KHWD,2022-04-04 14:54:00,64.0,64.0,58.0,30.08,10.0,W,16.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7446121,Source1,3,2019-02-13 09:17:15,2019-02-13 09:47:14,42.07626,-86.42056,42.08127,-86.41496,0.45,At Pipestone Rd/Exit 29 - Accident.,I-94 E,Benton Harbor,Berrien,MI,49022,US,US/Eastern,KBEH,2019-02-13 09:04:00,23.0,6.9,78.0,29.84,2.0,West,24.2,0.0,Haze,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1299265,Source2,3,2020-09-15 17:02:27,2020-09-15 18:01:38,27.878349,-82.65763100000002,,,1.6100000143051147,Entry ramp to I-275 Northbound from CR-296 Eastbound closed due to accident.,Roosevelt Blvd N,Saint Petersburg,Pinellas,FL,33716,US,US/Eastern,KPIE,2020-09-15 16:53:00,84.0,84.0,82.0,29.95,10.0,S,5.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-574106,Source2,1,2022-07-06 07:00:51,2022-07-06 07:30:33,38.679779,-77.57428,,,0.0,Crash on VA-646 Aden Rd at Carriage Ford Rd.,Aden Rd,Nokesville,Prince William,VA,20181-2713,US,US/Eastern,KHEF,2022-07-06 06:56:00,71.0,71.0,93.0,29.71,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-2938690,Source2,3,2018-03-12 15:09:26,2018-03-12 16:09:09,35.018021000000005,-81.89679699999998,,,0.0,Accident on I-85 Southbound at Exit 78 US-221 Chesnee Hwy.,Chesnee Hwy,Spartanburg,Spartanburg,SC,29303,US,US/Eastern,KSPA,2018-03-12 15:15:00,44.6,42.2,71.0,29.76,10.0,ENE,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4634736,Source1,2,2023-02-11 09:16:30.000000000,2023-02-11 18:37:30.000000000,33.252004,-117.421875,33.213882,-117.389578,3.228,Stationary traffic on San Diego Fwy S - I-5 S from Las Pulgas Rd (I-5) to Harbor Dr (I-5) due to accident.,I-5 S,Camp Pendleton,San Diego,CA,92055,US,US/Pacific,KNFG,2023-02-11 08:52:00,53.0,53.0,64.0,29.87,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5171452,Source1,2,2022-12-16 06:44:40,2022-12-16 07:14:40,41.874354,-87.639499,41.87443,-87.639513,0.005,At S Clinton St - Accident.,S Canal St,Chicago,Cook,IL,60607,US,US/Central,KMDW,2022-12-16 06:53:00,30.0,19.0,75.0,28.99,10.0,SW,15.0,0.0,Cloudy,True,False,True,False,False,False,False,False,True,False,False,True,False,Night,Day,Day,Day
A-4011317,Source1,2,2022-09-30 21:40:16.000000000,2022-09-30 22:56:31.000000000,48.057295,-114.241393,48.057499,-114.241639,0.018,Incident on HIGHWAY 93 S near LOOKING EAST DR Expect delays., Marco Bay Loop,Somers,Flathead,MT,59932,US,US/Mountain,KGPI,2022-09-30 21:55:00,52.0,52.0,89.0,27.06,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1186940,Source2,2,2021-01-20 04:52:08,2021-01-20 06:35:55,40.052593,-81.325409,,,0.0,Accident on I-70 Westbound at OH-513 Batesville Rd.,I-70 W,Quaker City,Guernsey,OH,43773,US,US/Eastern,KZZV,2021-01-20 04:53:00,34.0,23.0,70.0,29.1,10.0,W,18.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4975243,Source1,2,2022-06-19 13:15:00,2022-06-19 15:20:44,37.188473,-121.991798,37.174037,-121.994052,1.005,Accident on Bear Creek Rd (CA-17) from Idylwild Rd (CA-17) to CA-17., Santa Cruz Hwy,Los Gatos,Santa Clara,CA,95033,US,US/Pacific,KSJC,2022-06-19 12:53:00,79.0,79.0,30.0,30.01,10.0,NW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1680096,Source2,3,2019-12-27 22:24:08,2019-12-27 23:07:32,40.844837,-73.904137,,,0.0,Right lane blocked due to accident on I-95 Cross Bronx Expy Northbound at Exit 2B Webster Ave.,Cross Bronx Expy W,Bronx,Bronx,NY,10457,US,US/Eastern,KLGA,2019-12-27 22:51:00,51.0,51.0,71.0,30.11,10.0,WNW,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1769657,Source2,4,2019-10-22 13:48:35,2019-10-22 16:59:09,36.269176,-77.722313,,,11.59000015258789,Left lane blocked due to accident on I-95 Southbound between NC-903 and NC-561.,I-95 N,Enfield,Halifax,NC,27823,US,US/Eastern,KIXA,2019-10-22 13:55:00,70.0,70.0,94.0,29.69,10.0,SSE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3485609,Source1,2,2016-10-20 15:00:28,2016-10-20 21:00:28,43.050404,-87.925606,43.05455900000001,-87.9249,0.289,Between WI-145/Exit 73 and North Ave/8th St/Exit 73 - Accident.,I-43 N,Milwaukee,Milwaukee,WI,53205,US,US/Central,KMWC,2016-10-20 14:45:00,51.8,,54.0,30.17,10.0,North,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3320104,Source2,2,2017-09-20 20:06:47,2017-09-20 20:36:37,39.797916,-84.258255,,,0.0,Accident on Free Pike at England Ave.,Free Pike,Dayton,Montgomery,OH,45416-1236,US,US/Eastern,KDAY,2017-09-20 19:56:00,77.0,,71.0,30.0,10.0,South,4.6,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-6317282,Source1,2,2021-11-16 07:20:00,2021-11-16 07:42:30,32.572771,-97.121196,32.567886,-97.117565,0.398,Stationary traffic at US-287 S due to accident.,US-287 S,Mansfield,Tarrant,TX,76063,US,US/Central,KGKY,2021-11-16 07:23:00,67.0,67.0,81.0,29.32,10.0,SSE,12.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1741929,Source2,2,2019-10-08 08:57:40,2019-10-08 09:57:28,34.52832,-117.983681,,,0.0,One lane blocked due to recovery work and accident on Avenue U at 82nd St.,82nd St E,Littlerock,Los Angeles,CA,93543-3217,US,US/Pacific,KPMD,2019-10-08 08:53:00,72.0,72.0,18.0,27.29,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1116737,Source2,3,2021-03-17 11:00:18,2021-03-17 12:24:00,36.210785,-86.775963,,,0.0,Three lanes blocked due to accident on I-65 Southbound at I-24.,I-24 E,Nashville,Davidson,TN,37207,US,US/Central,KBNA,2021-03-17 10:53:00,58.0,58.0,87.0,29.34,4.0,S,8.0,0.06,T-Storm,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2364539,Source2,2,2019-01-28 15:48:24,2019-01-28 16:18:10,35.587261,-97.531464,,,0.0,Accident on 115th St at Western Ave.,N Western Ave,Oklahoma City,Oklahoma,OK,73114-7081,US,US/Central,KPWA,2019-01-28 15:53:00,44.1,34.2,38.0,30.14,10.0,North,28.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-4584615,Source1,2,2022-03-01 17:06:09.000000,2022-03-01 18:45:41.000000,35.245975255798115,-80.85086703261923,35.250055255798124,-80.85679703261924,0.438,Incident on W BROOKSHIRE FWY near I-77 Expect delays.,W Brookshire Fwy,Charlotte,Mecklenburg,NC,28216,US,US/Eastern,KCLT,2022-03-01 16:52:00,66.0,66.0,29.0,29.26,10.0,WSW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2354610,Source2,2,2019-01-23 05:10:07,2019-01-23 05:39:51,39.116489,-94.68145,,,0.0,Right hand shoulder blocked due to accident on I-635 Northbound before Exit 5 State Ave.,State Ave,Kansas City,Wyandotte,KS,66102,US,US/Central,KNKA,2019-01-23 02:09:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3674556,Source1,2,2023-02-27 18:45:30,2023-02-27 20:49:38,43.04524,-77.747486,43.042476,-77.723232,1.24,crash I-90 - NYS Thruway eastbound at exit 47,I-90 E,Scottsville,Monroe,NY,14546,US,US/Eastern,KROC,2023-02-27 18:54:00,29.0,19.0,92.0,28.99,0.25,E,13.0,0.16,Heavy Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3526915,Source1,2,2016-12-15 19:45:43,2016-12-16 01:45:43,36.249203,-121.784948,36.24919600000001,-121.784929,0.001,At Dolan Rd (South) - Accident., Highway 1,Big Sur,Monterey,CA,93920-9542,US,US/Pacific,KMRY,2016-12-15 19:54:00,61.0,,78.0,29.72,10.0,SSE,13.8,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
